ID da composição;Descrição da composição SKU FILHO;Código da composição SKU FILHO;ID do componente;Descrição do componente SKU PAI;Código do componente SKU PAI;Quantidade Unidades Kit
16190628998;Proteja suas Cadeiras Kit 12 Capa Cadeira de Jantar Geo Chumbo;CD1323-12CH3;16176729576;Capa para Cadeira de Jantar - Geo Chumbo;CD1323;12
16190629032;Proteja suas Cadeiras Kit 12 Capa Cadeira de Jantar Geo Tabaco;CD1327-12CH3;16186329782;Capa para Cadeira de Jantar - Geo Tabaco;CD1327;12
16207954566;Protetor Arranhador de Sofá para Gatos  - 2L+3L Bege;CD1313CH1;16136692136;Protetor Braço de Sofá Arranhador para Gatos - Bege Bege;CD1289;2
16207954568;Protetor Arranhador de Sofá para Gatos  - 2L+3L Bege;CD1313CH2;16136692136;Protetor Braço de Sofá Arranhador para Gatos - Bege Bege;CD1289;2
16207954571;Protetor Arranhador de Sofá para Gatos  - 2L+3L Bege;CD1313CH3;16136692136;Protetor Braço de Sofá Arranhador para Gatos - Bege Bege;CD1289;2
16257086249;Protetor Arranhador de Sofá para Gatos  - 2L+3L Cinza + ARRANHADORES;CD1369;16257086251;Manta Protetora de Sofá Anti Arranhão - Cinza Sofá de 2 Lugares;CD1371;1
16257086249;Protetor Arranhador de Sofá para Gatos  - 2L+3L Cinza + ARRANHADORES;CD1369;16257086252;Manta Protetora de Sofá Anti Arranhão - Cinza Sofá de 3 Lugares;CD1372;1
16257086249;Protetor Arranhador de Sofá para Gatos  - 2L+3L Cinza + ARRANHADORES;CD1369;16257086256;Protetor Braço de Sofá Arranhador para Gatos - Cinza Cinza;CD1375;4
16207954550;Protetor Arranhador de Sofá para Gatos - 2L Bege;CD1311CH1;16136692136;Protetor Braço de Sofá Arranhador para Gatos - Bege Bege;CD1289;1
16207954553;Protetor Arranhador de Sofá para Gatos - 2L Bege;CD1311CH2;16136692136;Protetor Braço de Sofá Arranhador para Gatos - Bege Bege;CD1289;1
16207954556;Protetor Arranhador de Sofá para Gatos - 2L Bege;CD1311CH3;16136692136;Protetor Braço de Sofá Arranhador para Gatos - Bege Bege;CD1289;1
16207954573;Protetor Arranhador de Sofá para Gatos - 2L Chocolate;CD1314CH1;16136692618;Protetor Braço de Sofá Arranhador para Gatos - Chocolate Chocolate;CD1290;1
16207954576;Protetor Arranhador de Sofá para Gatos - 2L Chocolate;CD1314CH2;16136692618;Protetor Braço de Sofá Arranhador para Gatos - Chocolate Chocolate;CD1290;1
16207954579;Protetor Arranhador de Sofá para Gatos - 2L Chocolate;CD1314CH3;16136692618;Protetor Braço de Sofá Arranhador para Gatos - Chocolate Chocolate;CD1290;1
16257086247;Protetor Arranhador de Sofá para Gatos - 2L Cinza;CD1367;16257086251;Manta Protetora de Sofá Anti Arranhão - Cinza Sofá de 2 Lugares;CD1371;1
16257086247;Protetor Arranhador de Sofá para Gatos - 2L Cinza;CD1367;16257086256;Protetor Braço de Sofá Arranhador para Gatos - Cinza Cinza;CD1375;1
16207954586;Protetor Arranhador de Sofá para Gatos - 2L+3L Chocolate;CD1316CH1;16136692618;Protetor Braço de Sofá Arranhador para Gatos - Chocolate Chocolate;CD1290;2
16207954587;Protetor Arranhador de Sofá para Gatos - 2L+3L Chocolate;CD1316CH2;16136692618;Protetor Braço de Sofá Arranhador para Gatos - Chocolate Chocolate;CD1290;2
16207954588;Protetor Arranhador de Sofá para Gatos - 2L+3L Chocolate;CD1316CH3;16136692618;Protetor Braço de Sofá Arranhador para Gatos - Chocolate Chocolate;CD1290;2
16207954558;Protetor Arranhador de Sofá para Gatos - 3L Bege;CD1312CH1;16136692136;Protetor Braço de Sofá Arranhador para Gatos - Bege Bege;CD1289;1
16207954561;Protetor Arranhador de Sofá para Gatos - 3L Bege;CD1312CH2;16136692136;Protetor Braço de Sofá Arranhador para Gatos - Bege Bege;CD1289;1
16207954563;Protetor Arranhador de Sofá para Gatos - 3L Bege;CD1312CH3;16136692136;Protetor Braço de Sofá Arranhador para Gatos - Bege Bege;CD1289;1
16207954582;Protetor Arranhador de Sofá para Gatos - 3L Chocolate;CD1315CH1;16136692618;Protetor Braço de Sofá Arranhador para Gatos - Chocolate Chocolate;CD1290;1
16207954583;Protetor Arranhador de Sofá para Gatos - 3L Chocolate;CD1315CH2;16136692618;Protetor Braço de Sofá Arranhador para Gatos - Chocolate Chocolate;CD1290;1
16207954585;Protetor Arranhador de Sofá para Gatos - 3L Chocolate;CD1315CH3;16136692618;Protetor Braço de Sofá Arranhador para Gatos - Chocolate Chocolate;CD1290;1
16252904810;Protetor Arranhador de Sofá para Gatos - 4L Bege;CD1349CH1;16237076544;Manta Protetora de Sofá Anti Arranhão - Bege Sofá de 4 Lugares;CD1351;1
16252904810;Protetor Arranhador de Sofá para Gatos - 4L Bege;CD1349CH1;16136692136;Protetor Braço de Sofá Arranhador para Gatos - Bege Bege;CD1289;1
16252904811;Protetor Arranhador de Sofá para Gatos - 4L Bege;CD1349CH2;16237076544;Manta Protetora de Sofá Anti Arranhão - Bege Sofá de 4 Lugares;CD1351;1
16252904811;Protetor Arranhador de Sofá para Gatos - 4L Bege;CD1349CH2;16136692136;Protetor Braço de Sofá Arranhador para Gatos - Bege Bege;CD1289;1
16252904812;Protetor Arranhador de Sofá para Gatos - 4L Bege;CD1349CH3;16237076544;Manta Protetora de Sofá Anti Arranhão - Bege Sofá de 4 Lugares;CD1351;1
16252904812;Protetor Arranhador de Sofá para Gatos - 4L Bege;CD1349CH3;16136692136;Protetor Braço de Sofá Arranhador para Gatos - Bege Bege;CD1289;1
16252904807;Protetor Arranhador de Sofá para Gatos - 4L Chocolate;CD1350CH1;16136692618;Protetor Braço de Sofá Arranhador para Gatos - Chocolate Chocolate;CD1290;1
16252904807;Protetor Arranhador de Sofá para Gatos - 4L Chocolate;CD1350CH1;16237076546;Manta Protetora de Sofá Anti Arranhão - Chocolate Sofá de 4 Lugares;CD1352;1
16252904808;Protetor Arranhador de Sofá para Gatos - 4L Chocolate;CD1350CH2;16237076546;Manta Protetora de Sofá Anti Arranhão - Chocolate Sofá de 4 Lugares;CD1352;1
16252904808;Protetor Arranhador de Sofá para Gatos - 4L Chocolate;CD1350CH2;16136692618;Protetor Braço de Sofá Arranhador para Gatos - Chocolate Chocolate;CD1290;1
16252904809;Protetor Arranhador de Sofá para Gatos - 4L Chocolate;CD1350CH3;16237076546;Manta Protetora de Sofá Anti Arranhão - Chocolate Sofá de 4 Lugares;CD1352;1
16252904809;Protetor Arranhador de Sofá para Gatos - 4L Chocolate;CD1350CH3;16136692618;Protetor Braço de Sofá Arranhador para Gatos - Chocolate Chocolate;CD1290;1
16257086250;Protetor Arranhador de Sofá para Gatos - 4L Cinnza + arranhador de braço;CD1370;16257086255;Manta Protetora de Sofá Anti Arranhão - Cinza Sofá de 4 Lugares;CD1374;1
16257086250;Protetor Arranhador de Sofá para Gatos - 4L Cinnza + arranhador de braço;CD1370;16257086256;Protetor Braço de Sofá Arranhador para Gatos - Cinza Cinza;CD1375;1
16173771476;Protetor Arranhador de Sofá para Gatos - Bege KIT 2+3 Lugares + Protetor de Braço;CD1313;16171456727;Manta Protetora de Sofá Anti Arranhão - Bege Sofá de 3 Lugares;CD1298;1
16173771476;Protetor Arranhador de Sofá para Gatos - Bege KIT 2+3 Lugares + Protetor de Braço;CD1313;16171452198;Manta Protetora de Sofá Anti Arranhão - Bege Sofá de 2 Lugares;CD1297;1
16173771476;Protetor Arranhador de Sofá para Gatos - Bege KIT 2+3 Lugares + Protetor de Braço;CD1313;16136692136;Protetor Braço de Sofá Arranhador para Gatos - Bege Bege;CD1289;2
16173771474;Protetor Arranhador de Sofá para Gatos - Bege Sofá de 2 Lugares + Protetor de Braço;CD1311;16136692136;Protetor Braço de Sofá Arranhador para Gatos - Bege Bege;CD1289;1
